2024;7;18;20;35;-47
2024;7;18;20;35;-44
2024;7;18;20;35;-43
2024;7;18;20;35;-40
2024;7;18;20;35;-25
2024;7;18;20;35;-30
2024;7;18;20;35;-10
2024;7;18;20;36;10
2024;7;18;20;36;10
2024;7;18;20;36;25
2024;7;18;20;36;30
2024;7;18;20;36;20
2024;7;18;20;36;18
2024;7;18;20;36;2
2024;7;18;20;36;-5
2024;7;18;20;36;-20
2024;7;18;20;36;-47
2024;7;18;20;36;-44
2024;7;18;20;37;-43
2024;7;18;20;37;-40
2024;7;18;20;37;-25
2024;7;18;20;37;-30
2024;7;18;20;37;-10
2024;7;18;20;37;10
2024;7;18;20;37;10
2024;7;18;20;37;25
2024;7;18;20;37;30
2024;7;18;20;37;20
